Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
"تبیین جایگاه ماتریس حسابداری اجتماعی مالی در تحلیل های اقتصادی
حسابداری ملی, به هنگام سازی, حساب های مالی, صادرات, ایران","برآورد اثر بازگشتی انرژی در گستره اقتصاد ایران
اثر بازگشتی انرژی, مدل فضا حالت, پیشرفت تکنولوژی, ایران","فقر مسکن و تغذیه کودکان در شهر تهران- 1390
ابعاد فقر, نرخ فقر کودکان, نرخ فقر مناطق","برآوردی از درجه عبور نرخ ارز به قیمت های داخلی در اقتصاد ایران: کاربردی از مدل های پارامتر متغیر
عبور نرخ ارز, نوسانات تصادفی, مدل خودرگرسیون برداری با پارامترهای متغیر در طی زمان, تورم, تجزیه واریانس تاریخی","بررسی اثر سیاست افزایش قیمت بنزین و پرداخت یارانه معیشتی بر شاخص قیمت کالاهای مصرفی و رفاه گروه‌های مختلف خانوارهای شهری و روستایی
یارانه پنهان بنزین, یارانه معیشتی بنزین, مدل داده - ستانده, قیمت بنزین و ایران","تحلیل تورم، رشد تولید و پایداری اقتصادی در ایران
تورم, رشد اقتصادی, VAR ساختاری, تورم هسته‌ای, اقتصاد ایران"
"بررسی تأثیر شاخص‌های توسعه انسانی، سیاسی و آزادی‌های مدنی بر کیفیت محیط‌زیست
شاخص توسعه انسانی, شاخص توسعه سیاسی, ردپای اکولوژیکی, فرضیه کوزنتس زیست‌محیطی, گشتاورهای تعمیم‌یافته سیستمی","تحلیل اثر شفافیت بانک مرکزی بر نوسانات نرخ ارز در اقتصاد ایران
شاخص دینسر و ایچنگرین, شفافیت, بانک مرکزی, نرخ ارز, نوسانات","آثار و تبعات اجرای مرحله اول قانون هدفمندسازی یارانه‌ها بر رفاه دهک‌های پایین درآمدی در چارچوب رویکرد تحلیل مسیرساختاری
هدفمندی, شاخص هزینه زندگی, فقر, تحلیل مسیر ساختاری","اندازه دولت و رشد اقتصادی در ایران: رهیافت علیّت گرنجر مارکوف سوئیچینگ
اندازه دولت, رشد اقتصادی, علّیت گرنجر, مارکوف سوئیچینگ, ایران","ارزیابی ریسک فروش نفت به روپیه، یوان و یورو مطالعه موردی درآمدهای نفت ایران
نرخ ارز, درآمدهای نفتی, پیش‌بینی, مدل‌های سری زمانی","بررسی رابطه بین توسعه بخش مالی و اقتصاد زیرزمینی در ایران
اقتصاد زیرزمینی, توسعه مالی, مدل علل چندگانه- آثار چندگانه"
"بررسی اثرات شوک های سیاست پولی بر حباب قیمت سهام: کاربرد روش خودرگرسیون برداری ساختاری با پارامتر متغیر در زمان (TVP-SVAR)
سیاست پولی, نرخ بهره, نقدینگی, حباب قیمت بازار سهام, روش خودرگرسیون برداری با پارامتر متغیر در زمان","کارآیی نظام ملی نوآوری ایران و کشورهای منتخب
نظام ملی نوآوری, تحلیل پوششی داده های دو مرحله ای, خلق ابداعات و اختراعات, تجاری سازی ابداعات و اختراعات, مدل توبیت","مدل سازی دورهای تجاری از نگاه کینزی های جدید با ساختار معادلات تفاضلی (رویکرد سنجی پنل پویا)
مدل سازی دورهای تجاری, کینزین های جدید, معادلات تفاضلی, رونق, رکود","عوامل مؤثر بر نابرابری توزیع درآمد استانی در ایران: رهیافت پانل پروبیت کسری
پانل پروبیت کسری, متغیرهای واکنشی کسری در بازه‌ صفر و یک, ضریب جینی, اقتصاد منطقه‌ای","تعیین اثرشوک بهره وری و شوک نوسان درآمد ارزی بر سبد دارایی خانوار در اقتصاد ایران با رویکرد تعادل عمومی پویای تصادفی D‌SGE
پرتفوی بهینه, سرمایه گذاری, تعادل عمومی پویایی تصادفی, شوک های تصادفی, واکنش های آنی","تغییرات نرخ ارز و اثر آن بر نوسانات متغیرهای منتخب اقتصاد کلان در ایران
نوسان, نرخ ارز, تولید, سپرده, تورم, تجارت, نقدینگی"
"فقر چند‌بُعدی کودکان ایران از منظر اهداف توسعۀ پایدار
شاخص فقر چند‌بُعدی, تحلیل فقر چند‌بُعدی, روش الکایر- فوستر, فقر چند‌بُعدی کودکان","صادرات ضمنی یارانه حامل های انرژی در ایران (1395-1387)
صادرات, یارانه ضمنی, حامل انرژی, داده - ستانده","ارایه الگویی برای تعیین نرخ سود در عقود مبادله ای با استفاده از شبکه‌های عصبی مصنوعی
سود, عقود مبادله‌ای, بانکداری اسلامی, تابع هزینه سایه‌ای, شبکه عصبی مصنوعی","برآورد فرار سرمایه و عوامل مؤثر بر آن در ایران با رویکردی جدید (طی سال‎های 1397-1355)
فرار سرمایه, روش باقیمانده‌ها, اقتصاد ایران","تأثیر پیچیدگی اقتصادی بر عملکرد زیست محیطی در کشورهای منطقه منا
پیچیدگی اقتصادی, عملکرد زیست‌محیطی, منحنی کوزنتس","بررسی نقش سرمایه در اشتغالزایی و افزایش تقاضای نیروی کار در بخش صنعت ایران
موجودی سرمایه, اشتغال, رهیافت پویای تقاضای نیروی کار, الگوی خود توضیحی با وقفه های گسترده (ARDL), بخش صنعت ایران"
"بررسی ابعاد سه‌گانه ریسک اعتباری بانک ها در ایران با تأکید بر موقعیت جغرافیایی بنگاه
تسهیلات بانکی, مطالبات غیرجاری, ریسک اعتباری, مدل داده های پانل سه بعدی","مقایسه روش‌های مختلف پیش‌ بینی رشد اقتصادی ایران با تأکید بر مدل های گزینشی نمودن و متوسط‌ گیری الگوی پویا
پیش‌ بینی, رشد اقتصادی, مدل فضا- حالت, مدل عاملی, متوسط ‌گیری الگوی پویا","تحلیلی اقتصادی از اثر بُعد خانواده بر عملکرد تحصیلی فرزندان
کمیت فرزند, کیفیت فرزند, آموزش","قاچاق کالا و اشتغال در ایران
قاچاق کالا, اشتغال, ایران, شاخص چندگانه- علل چندگانه (MIMIC), آزمون کرانه ای خودرگرسیون برداری با وقفه های گسترده (ARDL Bounding test)","رابطه بین شاخص قیمت صادراتی و رشد اقتصادی ایران: کاربرد الگوی خود رگرسیون برداری ساختاری (SVAR) و گراف های جهت‌دار غیرمدور (DAG)
الگوی خودتوضیح برداری ساختاری, رشد اقتصادی, قیمت صادرات, گراف‌های جهت‌دار غیرمدور","تورم و اندازه دولت در ایران: رویکرد رگرسیون آستانه ای
تورم, اندازه دولت, ایران, رگرسیون آستانه ای"
"بررسی آثار یارانه انرژی بر تحقق توسعه پایدار با استفاده از مدل‌های تصمیم‌گیری چند معیاره MADM و رویکردهای ارزیابی TOPSIS و VIKOR مطالعه موردی کشورهای: ایران، چین، هندوستان، عربستان، روسیه، آلمان، آمریکا و ژاپن
مدل‌های تصمیم‌گیری چند معیاره (MADM), یارانه انرژی, شاخص توسعه پایدار, رویکرد TOPSIS, رویکرد VIKOR","مقایسه ساختار اقتصاد ملی و استانی ایران با استفاده از رویکرد داده-ستانده
رویکرد داده-ستانده, بخش‌های کلیدی ملی, بخش‌های کلیدی استانی, ساختار اقتصاد ایران","تأملاتی در اخلاق اسلامی و آسیب شناسی جرم: رهیافت نظریه بازی ها
اخلاق اسلامی, ‌ امر به معروف و نهی از منکر, نظریه بازی ها, جامعه اسلامی","بررسی تأثیر فساد اداری بر سلامت مالی در نظام بانکی ایران
فساد اداری, فساد مالی, معیارهای سلامت مالی, حق‌الوکاله","تأثیر کمک های رسمی توسعه ای دوجانبه بر توسعه انسانی در کشورهای منتخب آسیایی
خالص کمک های رسمی توسعه ای دوجانبه, شاخص توسعه انسانی, آسیا, حداقل مربعات کاملاً اصلاح شده","بررسی اثر توسعه مالی استانی بر توزیع درآمد استانی در ایران
توسعه مالی, توزیع درآمد استانی, ضریب جینی, نابرابری درآمدی, داده های تابلویی"
"شبیه‌سازی و اعمال اصلاحات پارامتریک جهت بهبود ناترازی مالی نظام بازنشستگی ایران
نظام بازنشستگی ایران, ناترازی مالی, توابع واکنش آنی, اصلاحات پارامتریک","بررسی رابطه بین چرخه‌های اعتباری و چرخه‌های تجاری در اقتصاد ایران
ایران, چرخه اعتباری, چرخه تجاری, هم‌حرکتی, روش خودرگرسیونی برداری ساختاری (SVAR)","بهینه سازی رفتار اقتصادی افراد با توجه به اخلاق متأثر از اعتقاد به معاد
نهاد, ایدئولوژی, زندگانی اخروی, عاملان اقتصادی, اخلاق","تأثیر قیمت دارایی‌های مالی و حقیقی بر سیکل‌های تجاری در ایران: رویکرد رگرسیون انتقال هموار
سیکل‌های تجاری, قیمت دارایی‌ها, مدل غیرخطی, رگرسیون انتقال هموار","تأثیر سرمایه اجتماعی بر مطالبات بانکی از بخش خصوصی و دولتی با تأکید بر کارآیی مخارج دولت
درآمدهای نفتی, نرخ ارز, شاخص بازار سهام, مطالبات بانکی, الگوی 3SLS","بررسی اثر توسعه مالی بر سرمایه انسانی
توسعه مالی, سرمایه انسانی, الگوی خود بازگشت با وقفه‏های توزیعی"
"تعیین بخش‌های کلیدی استان یزد  برمبنای تحلیل داده – ستانده دو منطقه‌ای
بخش‌های کلیدی, برنامه‌ریزی منطقه‌ای, رشد اقتصادی, مدل داده - ستانده, استان یزد","شکاف تکنولوژی و تأثیر سرمایه گذاری مستقیم خارجی بر بهره-وری کل عوامل تولید (مطالعه موردی: صنعت ایران)
سرمایه‌گذاری مستقیم خارجی, شکاف تکنولوژی, رگرسیون آستانه‌ای پانل","بررسی اثر سرمایه انسانی بر جنگ داخلی با احتساب نقش دموکراسی(رویکرد حداقل مربعات تعمیم یافته-پانلی)
میانگین سال های آموزش, دموکراسی, کشمکش های داخلی, حداقل مربعات تعمیم یافته پانلی","واکنش درآمد و مخارج دولت به عدم تعادل بودجه در ایران
مخارج دولت, درآمد مالیاتی, درآمد نفتی, همجمعی آستانه, تصحیح خطای نامتقارن","عدم تقارن آثار تکانه های قیمت نفت بر ریسک اعتباری بانک ها در ایران
خود رگرسیون با وقفه‌های توزیعی غیرخطی پانلی, اثرات نامتقارن, قیمت نفت, مطالبات غیرجاری","تأثیر نااطمینانی تولید بر رشد اقتصادی در ایران
ناطمینانی تولید, رشد اقتصادی, مدل گارچ (GARCH), مدل خودرگرسیون برداری (VAR)"
"تأثیر غیرخطی آستانه ای صادرات با فناوری پیشرفته و متوسط بر بهره‌وری کل عوامل در منتخبی از کشورهای در حال توسعه و توسعه‌یافته: رویکرد رگرسیون انتقال ملایم پانلی (PSTR)
بهره‌وری کل عوامل, صادرات با فناوری متوسط و پیشرفته, کشورهای در حال توسعه و توسعه‌یافته, رویکرد PSTR","اثر یکسان‌سازی نرخ ارز بر فقر در ایران با استفاده از مدل تعادل عمومی قابل‌محاسبه (CGE)
یکسان‌سازی نرخ ارز, خط فقر درونزا, شاخص فقر FGT, مدل تعادل عمومی قابل ‌محاسبه (CGE)","ترتیبات نهادی و توسعه همه جانبه: نقش نوآوری های نهادی در دستیابی به توسعه فناوری و توسعه پایدار
توسعه پایدار, نهاد, نوآوری نهادی, توسعه فناوری","تحلیل پویایی فقر در مناطق شهری ایران بر اساس رویکرد داده‌های تابلویی ترکیبی
اندازه‌گیری فقر, فقر پویا, داده‌های تابلویی ترکیبی, مناطق شهری, ایران","ارزیابی اثرات تنظیم‌گری بورس کالای ایران بر نوسانات قیمت کالاها
تنظیم‌گری, دولت, بورس کالا, مچینگ","رابطه رشد اقتصادی و نابرابری درآمدی بین استان های ایران
رشد اقتصادی, نابرابری درآمدی بین استان ها, ضریب جینی، شاخص تایل"
"پیامدهای نادیده‌گرفتن خانوار غیرریکاردویی بر سیاست پولی بهینه رمزی و متغیرهای کلان (در قالب الگوی DSGE)
تعادل عمومی پویای تصادفی, سیاست بهینه پولی رمزی, خانوارهای ریکاردویی و غیرریکاردویی","اثرات نامتقارن اقتصاد سایه بر توسعه مالی در ایران با رویکرد مدل NARDL
اقتصاد سایه, تأثیر نامتقارن, مدل NARDL","تأثیر اعمال ناقص قانون برنامه چهارم توسعه بر افزایش فقر ناشی از هزینه های کمرشکن سلامت
خط فقر, شاخص فقر فوستر- گریر- توربک, هزینه های کمرشکن سلامت, سلامت در قانون برنامه چهارم توسعه","بررسی بیش‌حساسیت مصرف خانوار با تأکید بر محدودیت نقدینگی در ایران
بیش‌حساسیت, فرضیه درآمد دائمی, هموارسازی مصرف, محدودیت نقدینگی, داده‌های بودجه خانوار","بررسی کارآیی آموزش عالی ایران در راستای دستیابی به توسعه پایدار
آموزش عالی, کارآیی آموزش, توسعه پایدار","بررسی تأثیر تکانه‌های نرخ ارز بر سرمایه‌گذاری و اشتغال در ایران با رهیافت مدل‌های تعادل عمومی قابل محاسبه
نرخ ارز, سرمایه‌گذاری, اشتغال, مدل تعادل عمومی چند منطقه‌ای"
"واکنش سفته بازی در بازار مسکن به شوک های برونزا در ایران
سفته بازی, مسکن, شوک های برونزا, روش MSVAR, ایران","ارزیابی کارآیی زیست محیطی کربن با داده‌های غیردقیق با استفاده از روش تحلیل پوششی داده های فازی (مطالعه موردی: ایران و کشورهای نفت  خیز)
تحلیل پوششی داده های فازی, داده های غیر دقیق, کارآیی زیست محیطی کربن, کشورهای نفتی","به‌کارگیری الگوریتم ریاضی آلمن در حذف عناصر منفی جدول متقارن داده- ستانده با فرض تکنولوژی کالا
جدول متقارن, فرض تکنولوژی کالا, فرض تکنولوژی بخش, الگوریتم ریاضی آلمن","پیش‌بینی رشد بخش کشاورزی ایران: رهیافت داده‌های ترکیبی با تواتر متفاوت (MIDAS)
ایران, پیش‌بینی, رشد کشاورزی, رگرسیون با داده‌های ترکیبی, مدل ARDL","سرمایه گذاری مستقیم خارجی، عامل تعیین کننده توسعه پایدار در کشورهای در حال توسعه و کشورهای دارای بازارهای نوظهور
سرمایه  گذاری مستقیم خارجی, توسعه  پایدار, کشورهای درحال  توسعه, کشورهای دارای بازارهای نوظهور","بررسی اثر توسعه مالی بر کیفیت محیط‌ زیست در ایران
توسعه مالی, کیفیت محیط زیست, انتشار دی‌اکسیدکربن"
"توسعه آموزش عالی و شکاف جنسیتی تحصیل در ایران
توسعه آموزش عالی, سال‌‌های تحصیل, شکاف جنسیتی تحصیل","برآورد قاعده بهینه سیاست پولی ایران در چارچوب مدل‌های هیبریدی
رجحان های بانک مرکزی
قاعده پولی بهینه
کنترل بهینه
برنامه ریزی پویا خطی درجه دو
اقتصاد ایران","اثر سررسید در قراردادهای آتی سکه بهار آزادی مورد معامله در بورس کالای ایران (IME)
اثر سررسید, فرضیه ساموئلسون, فرضیه کوواریانس منفی, اثر جریان اطلاعات, قرارداد آتی","مطالعه اثرات مدل سازی و پیشنهاد رفتار صادرات نفت پساتحریمی ایران در چارچوب تحلیل روابط استراتژیک بازار نفت
بازار نفت
نظریه بازی
اوپک
نرخ تنزیل آتی","نقش عامل های توسعه مالی در چگونگی اثرگذاری قیمت نفت بر روی رانت نفت و رانت گاز در ایران
توسعه مالی, قیمت نفت, رانت نفت, رگرسیون غلتان","رابطه توسعه مالی و نابرابری درآمدی در ایران
توسعه مالی, نابرابری درآمدی, رویکرد آزمون کرانه ها"
"زنجیره‌های جهانی ارزش و بهبود عملکرد زیست‌محیطی در کشورهای در حال توسعه
زنجیره‌های جهانی ارزش, شدت کربن, اقتصادسنجی فضایی, تجارت ارزش‌افزوده","بررسی اثر سیاست‌های پولی بر توزیع درآمد در بخش شهری و روستایی
سیاست‌ پولی, الگوسازی کلان به خرد, ضریب جینی, توزیع درآمد","شناسایی استان های دارای مزیت رقابتی دربخش ""ساخت کک، فرآورده‌های حاصل از تصفیه نفت و سوخت‌های هسته-ای""
جدول داده- ستانده منطقه‌ای, بخش کلیدی, روش سهم مکانی, کد ISIC2","اثر ساختار سنی جمعیت بر امنیت اقتصادی ایران
امنیت اقتصادی, ساختار سنی جمعیت, روش فازی, GMM","اثر تغییرات کیفیت نهادی ناشی از تکانه‌های نفتی بر پویایی اقتصاد کلان ایران
کیفیت نهادی, تکانه‌های نفتی, کشور صادرکننده نفت, الگوی تعادل عمومی پویای تصادفی, ایران.","برآورد موجودی سرمایه و بررسی کارآیی روش‌های مختلف محاسبه آن در بخشهای عمده اقتصادی ایران
موجودی سرمایه, روش موجودی دائمی, روش تابع تولید, ارزش افزوده بالقوه, فیلتر کالمن"
"تحلیل تمیز خوشه های صنایع غذایی بر اساس مؤلفه های اقتصاد دایره ای
اقتصاد دایره ای, صنایع غذایی بوشهر, خوشه بندی, تحلیل تمیز","تأثیر پرداخت‌های کارتی بر توسعه مالی استان های کشور
پرداخت های کارتی, توسعه مالی, داده های پانل, استان ها","شاخص‌های صوری شدن معاملات در عملکرد بانکداری بدون ربا در ایران؛ بررسی موردی: تسهیلات اعطایی شعب بانک تجارت مشهد مقدس
معیار, شاخص, معامله صوری, بانکداری بدون ربا, شعب بانک تجارت مشهد","مطالعه اثرات نااطمینانی نرخ ارز مؤثر واقعی بر ارزش افزوده بخشهای اقتصادی در استان آذربایجان شرقی
نوسانات نرخ ارز مؤثر واقعی, ارزش افزوده بخشهای اقتصادی, تکنیک مارکوف- سوئیچینگ, داده های تابلویی, تکنیک متوسط درون مقطعی ترکیب شده, استان آذربایجان شرقی","آزمون مدل کمیت - کیفیت فرزندان در خانواده های شهری ایران
کمیت فرزندان, کیفیت فرزندان, مشخصه‌های والدین, خانواده های ایرانی","فاصله اقتصادی و رشد منطقه ای در ایران
فاصله اقتصادی, داده های تابلویی پویا, رشد اقتصادی منطقه"
"بررسی مقایسه ای قراردادهای بین‌المللی خدماتی و مشارکت در تولید در صنعت نفت ایران و عراق از منظر کارآیی اقتصادی قراردادها
مشارکت در تولید, قراردادهای جدید نفتی ایران, قراردادهای خدماتی عراق, نظام مالی قرارداد","بررسی عوامل مؤثر بر شدت انرژی با تأکید بر اثر شکست ساختاری در ایران
قیمت انرژی, سرمایه‌گذاری مستقیم خارجی, شدت انرژی, شکست ساختاری, ایران","مدلسازی علل معوق شدن تسهیلات قرض الحسنه در بانک قرض الحسنه مهر ایران
تسهیلات معوق شده, رگرسیون لجستیک, تحلیل تشخیصی, بانک قرض الحسنه مهر ایران","انتخاب بهترین پایه مالیاتی برای تأمین مالی برنامه‌های محرک مالی در ایران با استفاده از الگوی تعادل عمومی پویای تصادفی
برنامه‌های محرک مالی, ضریب فزاینده, مالیات بر ارزش افزوده, مدل تعادل عمومی پویای تصادفی","بررسی عوامل مؤثر بر سوءتغذیه در ایران: کاربرد رهیافت خود رگرسیو با وقفه‌های گسترده
سوءتغذیه, رشد اقتصادی, مخارج بهداشتی, ARDL, ایران","اندازه گیری زیست کارآیی پالایشگاه های نفت ایران با استفاده از روش تحلیل پوششی داده ها
پالایشگاه نفت, آلودگی, زیست کارایی, کارایی فنی, روش تحلیل پوششی داده ها"
"تاثیر منطقه آزاد انزلی بر رشد و توسعه اقتصادی استان گیلان
کنترل ترکیبی, منطقه آزاد انزلی, توسعه منطقه‌ای","سیاست بهینه زیست محیطی، نااطمینانی و کیفیت نهادی: مطالعه موردی ایران
الگوی تعادل عمومی پویای تصادفی, مالیات بر آلودگی, مجوز انتشار آلودگی, رفاه اجتماعی, کیفیت نهادی, ایران","اثرات جریان یافتن پول الکترونیک بر حجم اسکناس و مسکوک در گردش در ایران
پول الکترونیک, کارت های بدهی, پایانه فروش, اسکناس و مسکوک در گردش, مدل خود توضیح با وقفه‌های توزیعی, الگوی تصحیح خطا","ارزیابی عملکرد تثبیتی سیاست ترکیبی پولی و کلان احتیاطی در اقتصاد ایران
سیاست پولی, سیاست کلان احتیاطی, پاداش تأمین مالی, اقتصاد ایران","شناسایی عوامل مؤثر بر باورهای افراد تأثیر گذار در شکل گیری نهادهای رسمی اقتصاد ایران با رویکرد اقتصاد شناختی
اقتصاد نهادی
 اقتصاد شناختی
 باورخودکارآمدی","اثر سرمایه گذاری دولت در بخش ورزش بر رشد اقتصادی در ایران
سرمایه‌گذاری, اقتصاد ورزش, رشد اقتصادی"
"واکاوی اثر تغییر نرخ سود سپرده بانکی بر متغیرهای کلان اقتصاد در چارچوب الگوی اقتصادسنجی کلان ساختاری
سیستم بانکی, الگوی اقتصادسنجی کلان ساختاری, تولید, نرخ سود سپرده بانکی","تحلیل رابطه بین سرقت و نابرابری درآمدی رویکرد بیزین  (مطالعه موردی ایران)
اقتصاد جرم, نابرابری درآمدی, اقتصاد سنجی بیزین","گفتمانی بدیل برای توسعه: رویکرد انسان شناختی به مفهوم توسعه
گفتمان توسعه, انسان شناسی, پسا توسعه گرایی, گفتمان بدیل توسعه","بررسی وضعیت فقر در خانوارهای شهری ایرانطی پنج برنامه توسعه اقتصادی ایران: 1394-1368
خط فقر, شاخص های فقر, عملکرد دولت, خانوارهای شهری","تأثیر رشد کند اقتصادی بر نابرابری توزیع درآمد: با تأکید بر فرضیه توماس پیکتی
رشد اقتصادی, نابرابری درآمدی, نرخ بازدهی سرمایه","اثر غیرخطی تورم بر نابرابری ‌درآمد در ایران
تورم, نابرابری‌درآمد"
"بررسی تأثیر دموکراسی و فساد بر جذب سرمایه گذاری مستقیم خارجی در کشورهای غرب و شرق آسیا
دموکراسی, شاخص ادراک فساد, سرمایه گذاری مستقیم خارجی, کشورهای غرب و شرق آسیا, روش گشتاورهای تعمیم یافته","بررسی و تحلیل اثر تورم بر رابطه بین توسعه مالی و اشتغال در اقتصاد ایران: کاربرد الگوی لاجستیک STR) LSTR)
تورم, توسعه مالی, اشتغال, مدل رگرسیون انتقال ملایم (STR)","برآورد دامنه مطلوب مخارج تحقیق و توسعه درایران:نقد و بررسی سیاست های علمی و فناوری برنامه پنجم
تحقیق و توسعه, اقتصاد ایران, برنامه پنجم توسعه, پژوهش و فناوری","بررسی تأثیر جهش پولی نرخ ارز بر فعالیت های عمده و اصلی اقتصاد در ایران
تئوری جهش پولی نرخ ارز, مدل رشد تعمیم یافته سولو, تکنیک پانل دیتا","تعیین کارآیی و ناکارآیی فاصله ای تولید در زیر بخش زراعت ایران
کارآیی فاصله‌ای, کارآیی خوش‌بینانه, کارآیی بدبینانه, رتبه‌بندی, سودآوری, کشاورزی","بررسی اثرات سیاست قیمت‌گذاری در تولید کلزا در ایران
سیاست قیمت‌گذاری, مازاد تولید‌کننده, سیستم معادلات تقاضا, کلزا"
"تأثیر نهادهای رسمی و غیررسمی بر توسعه کارآفرینی در کشورهای منطقه منا
کنترل فساد, نهادهای رسمی, کارآفرینی, منطقه منا","انتقال نرخ ارز شرطی به قیمت مصرف کننده در ایران: رهیافت DSGE
انتقال نرخ ارز, شاخص قیمت مصرف کننده, مدل تعادل عمومی پویای تصادفی","الگوسازی انتخاب؛ رویکردی نوین برای ارزشگذاری کالاهای زیست محیطی، مطالعه موردی: گنجنامه همدان
الگوسازی انتخاب, آزمون انتخاب, لاجیت شرطی, آزمون هاسمن, گنجنامه همدان
طبقه بندی JEL: Q51","اثرات حذف تعرفه بخش کشاورزی بر اشتغال‌زایی بخش‌های اقتصادی به تفکیک نیروی کار شاغل در بخش خصوصی و عمومی
اشتغال‌زایی بخش خصوصی, اشتغال‌زایی بخش عمومی, تعرفه واردات, جدول داده-ستانده","برآورد ضریب فزاینده سیاست مالی در اقتصاد ایران: کاربردی از مدل‌های خودرگرسیون برداری ساختاری و مارکوف سوئیچینگ
مخارج دولت, مالیات, ضریب فزاینده سیاست مالی, مدل مارکوف سوئیچینگ, ادوار تجاری","تأثیر درآمدهای نفتی بر سرمایه اجتماعی در ایران
درآمد نفتی, سرمایه اجتماعی, رشد اقتصادی, روش ARDL, آزمون باند
طبقه بندی GEL: Q3"
"جهانی سازی، مصرف انرژی و تخریب محیط زیست در ایران: شواهد تجربی از آزمون هم انباشتگی مکی
فرضیه EKC, تخریب محیط زیست, مصرف انرژی, هم انباشتگی مکی","بررسی تأثیر شوک شاخص کل قیمت سهام بر متغیرهای کلان اقتصادی با استفاده از رویکرد DSGE
شاخص کل قیمت سهام, سیاست پولی بهینه, مدل تعادل عمومی پویای تصادفی","مقایسه پیش بینی تورم بر پایه معادلات دیفرانسیل تصادفی با مدل های رقیب
آزمون آشوب, پیش بینی تورم, معادلات دیفرانسیل تصادفی, شبکه های عصبی, مدل های سری زمانی.
طبقه بندی JEL: E37، E47","اندازه گیری شاخص نابرابری چند بعدی در مناطق شهری ایران 1392-1368
نابرابری چند بعدی, ضریب جینی, شاخص آنتروپی, شاخص بورگیگنون","بررسی اثر دسترسی به فناوری اطلاعات و ارتباطات (ICT) بر توزیع درآمد در استان های کشور
دسترسی به فناوری اطلاعات و ارتباطات
نابرابری درآمد
گشتاورهای تعمیم یافته پویا","بررسی اثر سیاست های تأمین اجتماعی بر دستمزد و اشتغال در اقتصاد ایران
دستمزد حقیقی, کسورات تأمین اجتماعی, اشتغال
طبقه بندی JEL: J38"
"طبقه‌بندی استان‌های ایران از منظر شاخص اقتصاد دانش‌بنیان منطقه‌ای با استفاده از الگوریتم خوشه‌بندی k-means و c-means فازی
اقتصاد دانش‌بنیان, شاخص اقتصاد دانش‌بنیان منطقه‌ای, خوشه‌بندی, الگوریتمc-means فازی, الگوریتم k-means","تأثیر یارانه‌ نقدی بر الگوی مخارج خانوارهای شهری و روستایی در ایران
الگوی مخارج خانوار, یارانه‌ نقدی, هزینه- درآمد, پانل دیتا","کفایت (خطّ فقر شریعت)، مقیاسی قوی در دست حاکم برای جلوگیری از کار کودکان
فقر, خط فقر, کار کودک, توسعه انسانی
 طبقه بندی JEL : J08","ارزیابی سازوکار انتقال اثرات سیاست پولی بر بازار سهام در ایران با استفاده از روش خودرگرسیون برداری ساختاری (SVAR)
بازار سهام, سیاست پولی, مکانیسم انتقال پول, شاخص قیمت سهام","عوامل مؤثر بر پایداری و فراگیری توسعه صنعتی در ایران: رویکرد همگرایی و الگوی تصحیح خطای برداری
توسعه صنعتی, فراگیری, پایداری, روش همگرایی","بررسی تأثیر سرکوب مالی بر رشد اقتصادی در بخش کشاورزی مطالعه موردی: ایران (86-1341)
ایران, شکست ساختاری, : سرکوب مالی, رشد بخش کشاورزی, آزمون های همجمعی"
"بررسی اثرناهمگن نرخ ارز بر قیمت‌ها با بکارگیری داده‌‌های خرد شرکت‌های ایرانی
گذر نرخ ارز, درجه واردات محوری, درجه صادرات محوری, محدودیت مالی","اثر دخالت دولت در بخش بانکی روی پایداری مالی این بخش در ایران در دوره 92-1380
سرکوب مالی, پایداری مالی, شاخص z-score","ارایه چارچوبی برای تعیین نرخ سود در عقود مبادله‌ای
: نرخ سود, عقود مبادله‌ای, بانکداری اسلامی, اقتصاد ایران
طبقه‌بندی Jel: G 21","اثرات نااطمینانی نسبت به مخارج دولت بر مخارج مصرفی خانوارها در ایران
هزینه‏های دولت, نااطمینانی, مصرف, نوسان پویا","بررسی عوامل مؤثر بر شدت صادرات صنایع تولیدکننده وسایل حمل و نقل ایران طی دوره (1393-1379) با تأکید بر اثر مالکیت خصوصی
شدت صادرات, مالکیت خصوصی, نرخ ارز حقیقی, صنایع تولیدکننده وسایل حمل و نقل ایران, رویکرد گشتاورهای تعمیم یافته پویا (GMM)","بررسی رابطه بین فقر و توسعه مالی در اقتصاد ایران طی دوره زمانی 1386- 1352
توسعه بخش مالی, کاهش فقر, آزمون علیت دولادو و لوتکپول
طبقه بندی JEL: I30"
