,keywords
223,"['انتقال نرخ ارز', ' شاخص قیمت مصرف کننده', ' مدل تعادل عمومی پویای تصادفی']"
224,"['نااطمینانی های نرخ ارز مؤثر واقعی', ' ارزش افزوده زیر بخشهای صنعت', ' مدل های گارچ', ' هدریک وپرسکات', ' داده های تابلویی', ' کدهای دورقمی ISIC-REV ۴']"
225,"['شاخص کل قیمت سهام', ' سیاست پولی بهینه', ' مدل تعادل عمومی پویای تصادفی']"
226,"['تئوری جهش پولی نرخ ارز', ' مدل رشد تعمیم یافته سولو', ' تکنیک پانل دیتا']"
227,"['اندازه دولت', ' هزینه مالیات', ' فرضیه کائو و روبین', ' ایران', ' رگرسیون هم جمعی کانونی (CCR)']"
228,"['قاچاق کالا', ' تحریم', ' نرخ ارز دوگانه', ' روش E-MIMIC']"
229,"['بازار اقتصادی', ' بازار سیاسی', ' عدم محدودیت زمانی رأی', ' نظریه رأی دهنده عقلانی آنتونی داونز', ' الگوی پولی ساموئلسن']"
230,"['توسعه مالی', ' ساختار مالی', ' بی ثباتی رشد اقتصادی', ' ARDL', ' GARCH']"
231,"['اشتغال زایی بخش خصوصی', ' اشتغال زایی بخش عمومی', ' تعرفه واردات', ' جدول داده-ستانده']"
232,"['پس انداز اصیل', ' قاعده هارتویک', ' توسعه پایدار', ' ایران']"
233,"['سرمایه ملموس و ناملموس', ' رانت منابع طبیعی', ' رگرسیون های به ظاهر نامرتبط']"
234,"['صندوق توسعه ملی', ' الگوی اقتصادسنجی کلان ساختاری', ' رشد اقتصادی', ' شبیه سازی پویا', ' روش ARDL']"
235,"['نابرابری چند بعدی', ' ضریب جینی', ' شاخص آنتروپی', ' شاخص بورگیگنون']"
236,"['الگوی مخارج خانوار', ' یارانه نقدی', ' هزینه- درآمد', ' پانل دیتا']"
237,"['تجزیه تغییرات فقر', ' پویایی های فقر', ' برنامه های توسعه ایران', ' روش تجزیه شش جزئی']"
238,"['اقتصاد پساکینزی', ' اشتغال', ' انباشت سرمایه', ' توزیع درآمد', ' ایران']"
239,"['آلودگی هوا', ' هزینه های عمومی سلامت', ' رشد اقتصادی', ' توسعه پایدار']"
240,"['همگرایی', ' تحلیل خوشه ای', ' استان ها', ' ایران']"
241,"['کانال ترازنامه', ' دیدگاه اعتبار', ' مکانیسم انتقال پولی', ' رهیافت VAR ساختاری', ' قیمت دارایی ها']"
242,"['هزینه منابع داخلی', ' مزیت نسبی', ' اثرات خارجی', ' روش ارزش گذاری مشروط', ' تمایل به دریافت']"
243,"['درآمد مالیاتی', ' درآمد نفتی', ' صندوق توسعه ملی', ' تعادل عمومی پویای تصادفی']"
244,"['سرکوب مالی', ' پایداری مالی', ' شاخص z-score']"
245,"['بازار سهام', ' سیاست پولی', ' مکانیسم انتقال پول', ' شاخص قیمت سهام']"
246,"['سهم درآمدی نیروی کار', ' کشش جانشینی بین سرمایه و نیروی کار', ' تابع تولید CES', ' مارک آپ قیمت']"
247,"['حکمرانی خوب', ' توزیع درآمد', ' پانل داده ها', ' جنوب غربی آسیا']"
248,"['نرخ باروری کل (TFR) ', ' تعیین کننده های اقتصادی– اجتماعی باروری', ' روش های ARDL و ECM', ' ایران']"
249,"['تورم', ' رشد اقتصادی', ' VAR ساختاری', ' تورم هسته ای', ' اقتصاد ایران']"
250,"['رفتار مصرفی خانوار', ' نظریه انگل', ' سیستم معادلات به ظاهر نامرتبط', ' حداقل مربعات تعمیم یافته عملی']"
251,"['مصرف حامل های انرژی', ' انتشار آلاینده های هوا', ' هزینه تخریب', ' تعادل عمومی محاسبه پذیر']"
252,"['ابعاد فقر', ' نرخ فقر کودکان', ' نرخ فقر مناطق']"
253,"['هدفمندی', ' شاخص هزینه زندگی', ' فقر', ' تحلیل مسیر ساختاری']"
254,"['اقتصاد زیرزمینی', ' توسعه مالی', ' مدل علل چندگانه- آثار چندگانه']"
255,"['هزینههای دولت', ' نااطمینانی', ' مصرف', ' نوسان پویا']"
256,"['مدل سازی دورهای تجاری', ' کینزین های جدید', ' معادلات تفاضلی', ' رونق', ' رکود']"
257,"['اثرات نامتقارن شوک های پولی', ' تولید ناخالص داخلی', ' رژیم های تورمی', ' سرمایه گذاری', ' مدل تعادل عمومی پویای تصادفی']"
258,"['پیش بینی', ' رشد اقتصادی', ' مدل تصحیح خطا', ' رگرسیون فازی']"
259,"['تقاضای برق بخش خانگی', ' کشش های قیمتی و درآمدی', ' پنل پویا']"
260,"['ایران', ' اوپک', ' تبانی', ' رقابتی', ' مارکف سوئیچینگ']"
261,"['همگرایی', ' بهره وری انرژی', ' اقتصادسنجی فضایی', ' اثر سرریز', ' استان های کشور']"
262,"['بیکاری', ' سیاست های پولی', ' نااطمینانی تورم', ' روش های GARCH']"
263,"['ماتریس حسابداری اجتماعی', ' بیکاری', ' یارانه', ' تولید ناخالص داخلی', ' بخش کشاورزی']"
264,"['سود', ' عقود مبادله ای', ' بانکداری اسلامی', ' تابع هزینه سایه ای', ' شبکه عصبی مصنوعی']"
265,"['مدل رشد بهینه', ' بهینه سازی پویا', ' سیاست های مالیاتی', ' مصرف', ' رشد اقتصادی']"
266,"['هزینه مبادله', ' توسعه مالی', ' داده های ترکیبی', ' اوپک']"
267,"['نوسان', ' نرخ ارز', ' تولید', ' سپرده', ' تورم', ' تجارت', ' نقدینگی']"
268,"['موجودی سرمایه', ' اشتغال', ' رهیافت پویای تقاضای نیروی کار', ' الگوی خود توضیحی با وقفه های گسترده (ARDL) ', ' بخش صنعت ایران']"
269,"['کمیت فرزند', ' کیفیت فرزند', ' آموزش']"
270,"['اخلاق اسلامی', ' امر به معروف و نهی از منکر', ' نظریه بازی ها', ' جامعه اسلامی']"
271,"['نابرابری', ' پویایی درآمد', ' رویکرد شبه پانل پویا', ' تحرک درآمدی']"
272,"['کارآیی', ' تابع مرزی تصادفی', ' بانک', ' مدل باتیس و کوئلی', ' مدل همگرایی سیگما', ' مدل همگرایی بتا']"
273,"['کسری بودجه', ' تأمین مالی تورمی', ' مالیات تورمی', ' همگرایی بلندمدت', ' ایران']"
274,"['اندازه دولت', ' اندازه کشور', ' باز بودن تجاری', ' روش پانل دیتا']"
275,"['تورم', ' اندازه دولت', ' ایران', ' رگرسیون آستانه ای']"
276,"['طراحان بودجه', ' درآمدهای دولت', ' خطای پیش بینی', ' معادلات رگرسیونی به ظاهر نامرتبط']"
277,"['نهاد', ' ایدئولوژی', ' زندگانی اخروی', ' عاملان اقتصادی', ' اخلاق']"
278,"['ظرفیت مالیاتی', ' همگرایی', ' استان های کشور ایران', ' اقتصاد سنجی فضایی']"
279,"['بهره وری', ' تعاونی های صنعتی', ' جبران خدمات']"
280,"['مواد غذایی', ' رفاه', ' تغییرات متعدد قیمت', ' آسیب پذیری', ' فقر']"
281,"['توسعه مالی', ' توزیع درآمد استانی', ' ضریب جینی', ' نابرابری درآمدی', ' داده های تابلویی']"
282,"['کفایت سرمایه', ' اهرم مالی', ' بازده دارایی ها', ' بازده حقوق صاحبان سهام']"
283,"['میانگین سال های آموزش', ' دموکراسی', ' کشمکش های داخلی', ' حداقل مربعات تعمیم یافته پانلی']"
284,"['اقتصاد زیرزمینی', ' روش منطق فازی', ' تابع تقاضای واردات']"
285,"['توسعه پایدار', ' نهاد', ' نوآوری نهادی', ' توسعه فناوری']"
286,"['میل نهایی به مصرف و ثروت', ' درآمد کار', ' کالای بادوام', ' مسکن', ' اوراق بهادار', ' پس انداز', ' ایران']"
287,"['ترجیح زمانی', ' رشد اقتصادی', ' تعهد', ' عدم وجود تعهد']"
288,"['توسعه مالی', ' سرمایه انسانی', ' الگوی خود بازگشت با وقفههای توزیعی']"
289,"['ناطمینانی تولید', ' رشد اقتصادی', ' مدل گارچ (GARCH) ', ' مدل خودرگرسیون برداری (VAR)']"
290,"['خط فقر', ' شاخص فقر فوستر- گریر- توربک', ' هزینه های کمرشکن سلامت', ' سلامت در قانون برنامه چهارم توسعه']"
291,"['داده- ستانده', ' اشتغالزایی', ' استان سیستان و بلوچستان', ' فعالیت کلیدی', ' شاخص MRI']"
292,"['کلیدی: سپرده های بانکی', ' رانت جویی', ' مدل رگرسیون خود توضیح با وقفه های گسترده', ' اقتصاد ایران']"
293,"['فساد', ' رانت', ' درآمدهای نفتی', ' ایران']"
294,"['مالیات بر ارزش افزوده', ' مصرف بنزین', ' شبکه عصبی چندلایه', ' روش ARIMA', ' روش ترکیبی']"
295,"['شبکه عصبی مصنوعی تابع پایه شعاعی', ' کارآیی زیربرداری آب', ' مدل توبیت', ' زرقان']"
296,"['مالیات بر درآمد', ' تأمین اجتماعی', ' رفاه عمومی', ' ایران']"
297,"['رشد اقتصادی', ' نابرابری درآمدی بین استان ها', ' ضریب جینی، شاخص تایل']"
298,"['افزایش درآمدهای نفتی', ' مدیریت درآمدهای نفتی', ' صندوق نفت', ' بیماری هلندی', ' مدل تعادل عمومی قابل محاسبه پویا']"
299,"['نرخ ارز', ' سرمایه گذاری', ' اشتغال', ' مدل تعادل عمومی چند منطقه ای']"
300,"['بیمه اختیاری درمان', ' جمعیت فعال در بخش غیررسمی', ' شاخص اقتصادی- اجتماعی سلامت', ' پوشش کشوری بیمه درمان']"
301,"['تابع تولید', ' تحقیق و توسعه', ' انرژی', ' الگوریتم ژنتیک پیوسته', ' ایران']"
302,"['اقتصاد بخش عمومی', ' دولت رفاه', ' قانون اساسی جمهوری اسلامی ایران', ' مکتب اقتصادی', ' نظام اقتصادی', ' فرهنگ اقتصادی', ' عدالت اقتصادی']"
303,"['نرخ ارز حقیقی موثر', ' تراز تجاری', ' مدل تصحیح خطای برداری (VECM)']"
304,"['منحنی فیلیپس مرکب کینزین های جدید', ' شکاف تولید', ' فیلتر کالمن', ' فیلتر هودریک- پرسکات', ' فیلتر باند- پس']"
305,"['تاپسیس', ' مجموعه فازی', ' اولویت بندی', ' بخش خدمات', ' سرمایه گذاری']"
306,"['شاخص قیمت مصرف کننده', ' شاخص قیمت تولید کننده', ' هم انباشتگی', ' علیت گرنجری', ' ایران']"
307,"['صرفه های ناشی از تجمع محلی', ' تجمع صنعتی', ' مدل جغرافیای اقتصادی جدید', ' رشد اقتصادی', ' روش گشتاورهای تعمیم یافته', ' استان های ایران']"
308,"['نرخ بیکاری', ' اندازه دولت', ' همجمعی', ' آزمون کرانه ها']"
309,"['صادرات گاز', ' نظریه بازی ها', ' رقابت', ' بازار گاز']"
310,"['توسعه مالی', ' کیفیت محیط زیست', ' انتشار دی اکسیدکربن']"
311,"['آسیب های اجتماعی', ' تهدیدات اجتماعی', ' بی ثباتی اجتماعی', ' رشد اقتصادی', ' الگوی ARDL']"
312,"['نرخ بهینه مالیات بر کالاها و خدمات', ' سیستم مخارج خطی', ' رگرسیون های به ظاهر نامرتبط', ' هزینه نهایی رفاه اجتماعی']"
313,"['هزینه مبادله', ' سرقفلی', ' اقتصاد نهادی', ' کرمانشاه', ' کارگاه خرده فروشی', ' اقتصاد ایران']"
314,"['توسعه مالی', ' خدمات مالی بانکی', ' مالکیت دولتی بانکها', ' رشد اقتصادی', ' آزمون علیت']"
315,"['شوکهای پولی', ' قیمت', ' مواد غذایی', ' ایران']"
316,"['دانش', ' نوآوری', ' اقتصاد دانش محور', ' بهره وری', ' رانت']"
317,"['توزیع مناسب نیروی کار', ' نیروی کار پزشکی', ' طراحی بازار', ' تئوری تطبیق', ' نظریه بازی ها']"
318,"['منحنی فیلیپس کینزی جدید', ' تورم', ' اقتصاد ایران']"
319,"['یارانه های نقدی', ' کالاهای ضروری', ' خانوارهای فقیر و متوسط']"
320,"['توسعه مالی', ' نابرابری درآمدی', ' رویکرد آزمون کرانه ها']"
321,"['یارانه', ' تغییر قیمت شیر', ' تغییر جبرانی', ' خالص رفاه مصرف کننده', ' گروه های مختلف درآمدی']"
322,"['تفاوت های بیکاری منطقه ای', ' بازار زمین و مسکن', ' پانل دیتا']"
323,"['مهاجرت نیروی کار', ' اشتغال', ' تعادل عمومی', ' ماتریس داده های خرد']"
324,"['انرژی های تجدیدپذیر', ' انرژی خورشیدی', ' الگوی بهینه', ' بهینه سازی استوار', ' ایران']"
325,"['نرخ ارز', ' نوسانات قیمت سهام', ' رفتار وامدهی بانک مسکن', ' مدل تصحیح خطای برداری (VECM)']"
326,"['بخش کشاورزی', ' تولید ناخالص داخلی', ' رهیافت فیشر- سیتر', ' خنثایی و ابرخنثایی بلندمدت پول']"
327,"['دموکراسی', ' حق رأی', ' نرخ بهینه مالیاتی', ' توزیع مجدد', ' نابرابری']"
328,"['عناصر بازار', ' ساختار', ' رفتار', ' عملکرد', ' نوآوری', ' تحقیق و توسعه', ' تمرکز', ' سودآوری', ' تبلیغات', ' صنایع کارخانه ای', ' تصحیح خطای برداری', ' هم انباشتگی']"
329,"['تحصیلات فرانیاز', ' تحصیلات فرونیاز', ' مدل وردوگو- وردوگو', ' طبقه بندی مشاغل ISCO']"
330,"['جدول متقارن', ' فرض تکنولوژی کالا', ' فرض تکنولوژی بخش', ' الگوریتم ریاضی آلمن']"
331,"['الگوریتم ژنتیک', ' الگوریتم بهینه سازی انبوه ذرات', ' شبیه سازی', ' مدل مصرف', ' درآمد دائمی', ' درآمد نسبی']"
332,"['نرخ مشارکت نیروی کار', ' مدل لوجیت', ' عرضه نیروی کار', ' آموزش عالی', ' ایران']"
333,"['موجودی سرمایه', ' روش موجودی دائمی', ' روش تابع تولید', ' ارزش افزوده بالقوه', ' فیلتر کالمن']"
334,"['بهره وری کل عوامل تولید', ' باز بودن تجاری', ' مصرف انرژی', ' کارگاه های بزرگ صنعتی', ' داده های تابلویی']"
335,"['سرمایه اجتماعی', ' توسعه انسانی', ' خودرگرسیون برداری پانل دیتا']"
336,"['کسری بودجه دولت', ' تراز تجاری', ' الگوی اقتصادسنجی کلان ساختاری', ' شبیه سازی پویا']"
337,"['ایران', ' هدفمندسازی یارانهها', ' مدلسازی ناحیه ای بخش کشاورزی', ' برنامه ریزی ریاضی مثبت', ' حداکثر بی نظمی']"
338,"['قیمت نفت', ' قیمت سکه', ' نرخ ارز', ' همبستگی پویا']"
339,"['فاصله اقتصادی', ' داده های تابلویی پویا', ' رشد اقتصادی منطقه']"
340,"['اشتغال', ' تعاون', ' تسهیلات اعتباری', ' صنعت']"
341,"['ساختار سنی جمعیت', ' درآمد سرانه', ' الگوی خودرگرسیون با وقفه های توزیعی (ARDL)']"
342,"['اثر سررسید', ' فرضیه ساموئلسون', ' فرضیه کوواریانس منفی', ' اثر جریان اطلاعات', ' قرارداد آتی']"
343,"['جدول داده- ستانده منطقه ای', ' بخش کلیدی', ' روش سهم مکانی', ' کد ISIC ۲']"
344,"['ریسک', ' ارزش در معرض ریسک', ' شبه پارامتریک', ' ارزش احتمالی کوپیک', ' بازار بورس اوراق بهادار']"
345,"['صادرات غیرنفتی', ' یارانه بیمه صادرات', ' الگوی خود توضیحی با وقفه های گسترده (ARDL)']"
346,"['تقاضای پول', ' نرخ سود', ' سیاست پولی', ' رفتار بنگاه', ' داده های تابلویی']"
347,"['بهره وری', ' عوامل واسطه', ' داده- ستانده منطقه ای']"
348,"['سرمایه انسانی', ' نهادها', ' رشد اقتصادی']"
349,"['انتظارات تورمی', ' منحنی فیلیپس', ' نرخ ارز', ' پول', ' شکاف تولید']"
350,"['عدم تقارن اطلاعاتی', ' حاکمیت شرکتی', ' بازار بورس اوراق بهادار']"
351,"['خدمات با فناوری بالا', ' صادرات خدمات', ' رقابت پذیری', ' ماندگاری', ' اقتصاد دانش بنیان']"
352,"['رشد صنعت', ' خروج بنگاه صنعتی', ' شبکه عصبی مصنوعی', ' برنامه سوم توسعه']"
353,"['پالایشگاه نفت', ' آلودگی', ' زیست کارایی', ' کارایی فنی', ' روش تحلیل پوششی داده ها']"
354,"['بخش کشاورزی', ' بهره وری کل عوامل تولید', ' نااطمینانی', ' نرخ ارز واقعی', ' ایران']"
355,"['رشد اقتصادی', ' آلودگی', ' خسارت های رفاهی ناشی از آلودگی', ' پویایی های سیستم', ' اقتصاد ایران']"
356,"['""سرمایه گذاری مستقیم خارجی"" ', ' ""تروریسم"" ', ' ""ریسک سیاسی"" ', ' ""خاورمیانه""']"
357,"['سرمایه گذاری', ' اقتصاد ورزش', ' رشد اقتصادی']"
358,"['آتی های نفت', ' مشتقات نفت', ' ثمرات رفاهی نفت', ' ریاضیات مالی و مدل های ریاضی']"
359,"['اقتصاد ایالات متحده آمریکا', ' اقتصاد ایران', ' سیکل های تجاری', ' خودرگرسیون برداری']"
360,"['دولت های محلی', ' تمرکززدایی', ' تمرکززدایی مالی', ' توزیع عادلانه منابع مالی', ' داده های تابلویی']"
361,"['سرمایه انسانی', ' رشد', ' بارو و لی', ' آموزش']"
362,"['روش خودتوضیح برداری ساختاری', ' شوک قیمتی', ' نفت و مواد غذایی', ' متغیرهای کلان اقتصادی']"
363,"['معیار', ' شاخص', ' معامله صوری', ' بانکداری بدون ربا', ' شعب بانک تجارت مشهد']"
364,"['مالیات بر ارزش افزوده', ' تورم', ' مدل قیمت', ' داده- ستانده']"
365,"['رگرسیون لجستیک', ' کارآیی فنی', ' کارآیی تخصیصی', ' کارآیی کل']"
366,"['همگرایی باشگاهی', ' اقتصاد ایران', ' حساب های منطقه ای', ' درآمد سرانه', ' آزمون های ریشه واحد در داده های تابلویی']"
367,"['تسهیلات معوق شده', ' رگرسیون لجستیک', ' تحلیل تشخیصی', ' بانک قرض الحسنه مهر ایران']"
368,"['رشد اقتصادی', ' الگوی خودتوضیح برداری', ' تجزیه واریانس', ' بیماری هلندی', ' شوک های قیمت نفت', ' درآمدهای ارزی حاصل از صادرات نفت']"
369,"['انتشار دی اکسید کربن', ' مصرف انرژی', ' رشد اقتصادی', ' علیت', ' ایران']"
370,"['مدل تعادل عمومی محاسبه پذیر', ' اصلاح یارانه', ' قیمت حامل های انرژی', ' رفاه', ' تغییرات معادل هیکس']"
371,"['نوسانات قیمت مسکن', ' مدل خود توضیح با وقفه های توزیعی', ' الگوی تصحیح خطا', ' کرمانشاه']"
372,"['کیفیت زندگی', ' شهر', ' مدل ترکیبی توسعه انسانی', ' مراکز استان ها', ' ایران']"
373,"['ناهمگونی', ' مذهب', ' قومیت', ' رشد اقتصادی منطقه']"
374,"['ساختار مالی', ' توسعه مالی', ' رشد اقتصادی', ' نظام مالی بازارمحور', ' نظام مالی بانک محور']"
375,"['تورم', ' تولید بالقوه', ' شکاف تولید', ' سرعت گردش پول', ' شکاف سرعت گردش پول', ' فیلتر هودریک- پرسکات']"
376,"[': نرخ ارز واقعی', ' مدل اتورگرسیو چرخشی مارکف', ' نظریه برابری قدرت خرید', ' رژیم چرخشی مارکف']"
377,"['طرح هدفمندی یارانه ها', ' ضرایب فزاینده درآمدی', ' ماتریس حسابداری اجتماعی', ' ایران']"
378,"['صکوک', ' صادرات', ' کالا و خدمات فنی و مهندسی', ' تأمین مالی اسلامی', ' ایران']"
379,"['حاکمیت مالی', ' تورم']"
380,"['حقوق مالکیت فکری', ' پتنت', ' رشد اقتصادی', ' ایران', ' مدل خودهمبسته با وقفه های توزیعی (ARDL)']"
381,"['اقتصاد سایه ای', ' منطق فازی', ' استنتاج فازی', ' توابع عضویت']"
382,"['پول الکترونیک', ' کارت های بدهی', ' پایانه فروش', ' اسکناس و مسکوک در گردش', ' مدل خود توضیح با وقفه های توزیعی', ' الگوی تصحیح خطا']"
383,"['ارزیابی عملکرد', ' کارآیی', ' تحلیل پوششی داده ها', ' رتبه بندی']"
384,"['آزاد سازی تجاری', ' تجزیه رفاه اقتصادی', ' تغییر معادل', ' تخصیص کارا', ' رابطه مبادله', ' انحراف مالیاتی', ' مدل جیتپ']"
385,"['کیفیت خدمت', ' شکاف کیفیت خدمت', ' الگوی کیفیت خدمت سلسله مراتبی']"
386,"['گفتمان توسعه', ' انسان شناسی', ' پسا توسعه گرایی', ' گفتمان بدیل توسعه']"
387,"['تجارت درون صنعتی', ' بلوک های منطقه ای', ' بخش صنعت', ' داده های پانل پویا', ' مقیاس اقتصادی و روش گشتاورهای تعمیم یافته']"
388,"['مدل تعادل عمومی پویای تصادفی', ' بازار کار دوگانه', ' اشتغال غیررسمی']"
389,"['عناصر بازار', ' ساختار بازار', ' رفتار', ' عملکرد', ' نوآوری', ' تحقیق و توسعه', ' تمرکز', ' سودآوری', ' کارآیی', ' تبلیغات', ' صنایع کارخانه ای', ' سیستم معادلات همزمان', ' روش حداقل مربعات دو مرحله ای با جزء خطا']"
390,"['تورم', ' نابرابری درآمد']"
391,"['متغیرمجازی دودوای', ' متغیر مجازی فازی', ' شکست ساختاری', ' تابع عضویت', ' رگرسیون انتقال هموار']"
392,"['سرمایه اجتماعی', ' توسعه پایدار اقتصادی', ' پایداری اقتصاد محله', ' فعالان اقتصادی', ' محله غیررسمی شمیران نو']"
393,"['اندازه بنگاه', ' روش های ناپارامتریک', ' تابع چگالی کرنل', ' صنعت تولید منسوجات']"
394,"['سیاست قیمت گذاری', ' مازاد تولید کننده', ' سیستم معادلات تقاضا', ' کلزا']"
395,"['تحقیق و توسعه', ' اقتصاد ایران', ' برنامه پنجم توسعه', ' پژوهش و فناوری']"
396,"['نهادهای خالق بازار', ' نهادهای تنظیم کننده بازار', ' نهادهای تثبیت کننده بازار و نهادهای مشروعیت بخش به بازار', ' GMM پویا']"
397,"['قیمت انرژی الکتریکی', ' یارانه', ' شاخص قیمت ها', ' پرداخت نقدی', ' مدل تعادل عمومی قابل محاسبه']"
398,"['الگوسازی انتخاب', ' آزمون انتخاب', ' لاجیت شرطی', ' آزمون هاسمن', ' گنجنامه همدان\nطبقه بندی JEL: Q ۵۱']"
399,"['ترجیحات اظهار شده', ' تمایل به پرداخت', ' روش انتخاب تجربی', ' نظریه مصرف کننده لانکستر', ' مدل لوجیت', ' مسکن', ' بافت فرسوده. \nطبقه بندی JEL: D ۱۱']"
400,"[': اقتصادسنجی فضایی', ' صادرات محصولات کشاورزی', ' کشورهای حوزه اکو', ' روش ایستا و پویا', ' داده های تابلویی. \nطبقه بندی JEL: F ۱۱']"
401,"['تابع هزینه', ' اشتغال', ' تقاضای نیروی کار ماهر و غیرماهر', ' واردات فناوری', ' تحقیق و توسعه\nطبقه بندی JEL: O ۳']"
402,"['اقتصاد اسلامی', ' غرر', ' اطلاعات نامتقارن\nطبقه بندی JEL: Z ۱۲']"
403,"['درآمد نفتی', ' سرمایه اجتماعی', ' رشد اقتصادی', ' روش ARDL', ' آزمون باند\nطبقه بندی GEL: Q ۳']"
404,"[': اختلاف تجاری', ' قاچاق', ' نرخ تعرفه', ' فرار مالیاتی', ' داده های تلفیقی\nطبقه بندی: F ۱۳']"
405,"['دستمزد حقیقی', ' کسورات تأمین اجتماعی', ' اشتغال\nطبقه بندی JEL: J ۳۸']"
406,"['عرضه مسکن', ' قیمت مسکن', ' هزینه مصالح ساختمانی', ' روش گشتاورهای تعمیم یافته\nطبقه بندی JEL: C ۳۲']"
407,"['فقر چند بعدی', ' نظریه اطلاعات', ' خط فقر تجمیع شده', ' اجزای تشکیل دهنده خط فقر', ' محرویت نسبی']"
408,"['Q توبین', ' سرمایه گذاری', ' تأمین مالی', ' اصطکاک مالی']"
409,"['بخش خدمات', ' جدول داده- ستانده استان تهران', ' پیوندهای پسین و پیشین', ' روش بردار ویژه']"
410,"['انفاق', ' تابع انفاق', ' سرمایه مذهبی']"
411,"['ایران', ' شاخص قیمت', ' حامل های انرژی', ' جدول داده – ستانده انرژی']"
412,"['بانک تجاری', ' بی ثباتی اقتصادی', ' ارزش محصول بانک', ' واسطه گری مالی']"
413,"['سیاست پولی', ': انتظارات عقلایی', ' فیلتر کالمن', ' انتظارات تورمی', ' مدل فضا – حالت', ' فرآیند یادگیری']"
414,"['ایران', ' شکست ساختاری', ': سرکوب مالی', ' رشد بخش کشاورزی', ' آزمون های همجمعی']"
415,"[': توزیع اندازه بنگاه ها', ' رشد بنگاه', ' رگرسیون داده های تلفیقی', ' شرکت های بیمه']"
416,"['ارزش افزوده', ' مخارج ارزی', ' گردشگر بین المللی', ' ماتریس حسابداری اجتماعی', ' درآمد\nطبقه بندیJEL: F ۱۴، G ۲۰، P ۲۵']"
417,"['آزمون آشوب', ' پیش بینی تورم', ' معادلات دیفرانسیل تصادفی', ' شبکه های عصبی', ' مدل های سری زمانی. \nطبقه بندی JEL: E ۳۷، E ۴۷']"
418,"['رشد اقتصادی', ' فناوری اطلاعات و ارتباطات', ' رفاه اجتماعی', ' شکاف دیجیتالی', ' داده های تابلویی. \nطبقه بندیO ۴۷: JEL']"
419,"['توسعه بخش مالی', ' کاهش فقر', ' آزمون علیت دولادو و لوتکپول\nطبقه بندی JEL: I ۳۰']"
420,"['نرخ بیکاری', ' خوداشتغالی', ' مخارج تحقیق و توسعه', ' نرخ باسوادی', ' پانل دیتا\nطبقه بندی JEL: E ۲۴، J ۲۳، Q ۱۶']"
421,"['فقر', ' خط فقر', ' کار کودک', ' توسعه انسانی\nطبقه بندی JEL: J ۰۸']"
422,"['شهر', ' تنوع', ' تخصص', ' تجمیع محلی', ' تجمیع شهری', ' توزیع فعالیت های اقتصادی\nطبقه بندی JEL: R ۱۲']"
423,"['تحلیل حساسیت', ' ارزیابی عملکرد', ' تحلیل مولفههای اصلی', ' تحلیل پوششی دادهها', ' صنایع کوچک\nطبقه بندی JEL: O ۱۲ و CO ۲']"
424,"['ریسک اعتباری', ' بار بدهی', ' تحرک سرمایه', ' شدت نقدینگی', ' مدل رتبه بندی فینک طبقه بندی JEL: G ۲۱']"
425,"[': رابطه مبادله', ' الگوی رمزی تعمیم یافته', ' نرخ رجحان زمانی', ' کالیبره کردن', ' تحلیل حساسیت', ' اقتصاد ایران. \nطبقه بندی JEL: F ۳۲']"
426,"['آلودگی هوا', ': اقتصاد سایه ای', ' مدل علل چند گانه- آثار چند گانه', ' نرم افزار لیزرل. \nطبقه بندی JEL: E ۲۶']"
427,"['مدل تعادل عمومی قابل محاسبه', ' نوسان قیمت نفت', ' رفاه خانوارها در دهک های مختلف درآمدی. \nطبقه بندی JEL: L ۷۲']"
428,"[': نرخ سود', ' عقود مبادله ای', ' بانکداری اسلامی', ' اقتصاد ایران\nطبقه بندی Jel: G ۲۱']"
429,"[': حجم سرمایه R&D داخلی', ' موجودی سرمایه خارجی', ' صنایع متوسط و بزرگ ایران', ' داده های تابلویی. \nطبقه بندی JEL: C ۲۳']"
430,"['توزیع اندازه بنگاه', ' دینامیزم صنعتی', ' صنایع تولیدی ایران. \nطبقه بندی JEL: N ۶۵']"
431,"['پیوند پسین و پیشین', ' بخش کلیدی', ' ضریب فزاینده تولید', ' ضریب همبستگی رتبه ای', ' روش حذف فرضی\nطبقه بندی JEL: C ۶۷ -N ۶ -O ۵']"
432,"['همگرایی بتا', ' کشورهای اسلامی', ' اقتصادسنجی سری زمانی', ' شکست ساختاری', ' درآمد سرانه. \nطبقه بندی JEL: C ۲۲']"
433,"['یارانه سوخت', ' تولید', ' هزینه', ' شاخص قیمت', ' مدل تعادل عمومی قابل محاسبه', ' خراسان رضوی']"
434,"['راندمان', ' توربین گاز', ' چرخه ترکیبی', ' سوخت فسیلی', ' تولید برق']"
435,"['رانت جویی', ' شهرداری اصفهان', ' تخصیص بودجه', ' فروش تراکم']"
436,"['مدل جاذبه', ' همگرایی اقتصادی', ' همزمانی چرخه های تجاری', ' گروه شانگهای']"
437,"['صنایع تولیدی ایران', ' خروج بنگاه', ' سطح تکنولوژی', ' پنل نامتوازن', ' مدل مخاطره کاکس']"
438,"['توسعه مالی', ' بازار پول', ' بازار سرمایه', ' بازارهای مالی', ': تورم', ' حد آستانه']"
439,"['رشد اقتصادی', ' خصوصی سازی', ' بازار سهام']"
440,"['صادرات', ' علیت گرنجر', ': رشد اقتصادی', ' مدل غیر خطی انتقال ملایم', ' کشور های حاشیه دریای خزر']"
