,abstract
210,"['نگاه', 'پدیده', 'فقر', 'قالب', 'رویکرد', 'متعارف', 'یعنی', 'دیدن', 'فقر', 'مثابه', 'محرومیت', 'درآمد', 'جلوه', 'گوناگونی', 'فقر', 'مردم', 'عمل', 'تجربه', 'می', 'کنند', 'نادیده', 'می', 'گیرد', 'چنانچه', 'فقر', 'مثابه', 'محرومیت', 'قابلیت', 'حساب', 'آوریم', 'کنار', 'فقر', 'درآمدی', 'ابعاد', 'فقر', 'مورد', 'توجه', 'قرار', 'خواهند_گرفت', 'طرفی', 'براساس', 'استاندارد', 'متعارف', 'موضوعات', 'درآمد', 'فراغت', 'فرد', 'می', 'تواند', 'بین', 'ساعات', 'کار', 'فراغت', 'جابه', 'جایی', 'جانشینی', 'انجام', 'دهد', 'میزان', 'درآمد', 'دستمزد', 'درنتیجه', 'مطلوبیتش', 'افزایش', 'یابد', 'طبق', 'نگرش', 'قابلیت', 'درصورتی', 'عایدات', 'فرد', 'مانند', 'درآمد', 'ارزشمند', 'هستند', 'نتیجه', 'انتخاب', 'خود', 'باشند', 'حاصل', 'اجبار', 'جهت', 'جایگزینی', 'زمان', 'فراغت', 'زمان', 'اشتغال', 'مقاله', 'دنبال', 'چگونگی', 'رابطه', 'جانشینی', 'زمان', 'درآمد', 'پایه', 'رویکرد', 'قابلیت', 'سنجش', 'میزان', 'فقر', 'درآمدی', 'زمانی', 'چندبعدی', 'میان', 'معلمان', 'مرد', 'شهر', 'تهران', 'می', 'باشد', 'منظور', 'تابع', 'مطلوبیت', 'کشش', 'جانشینی', 'ثابت', 'CES', 'استفاده', 'شده_است', 'هدف', 'کاربردی', 'تحقیق', 'شناسایی', 'ویژگی', 'افرادی', 'است', 'قادر', 'مبادله', 'بین', 'فقر', 'زمانی', 'فقردرآمدی', 'نمی', 'باشند', 'Constant', 'Elasticity', 'of', 'Substitution']"
211,"['امروزه', 'دستیابی', 'ثبات', 'مالی', 'کنار', 'اهداف', 'متداول', 'ثبات', 'تورم', 'تولید', 'اهمیت', 'ویژه', 'ای', 'میان', 'سیاست', 'گذاران', 'پولی', 'مقامات', 'نظارتی', 'برخوردار', 'است', 'مطالعه', 'یک', 'مدل', 'تعادل', 'عمومی', 'پویای', 'تصادفی', 'دوره', 'زمانی', 'استفاده', 'شد', 'معیاری', 'تکانه', 'مالی', 'وارد', 'شده_است', 'مدل', 'تکانه', 'مالی', 'صورت', 'کاهش', 'پاداش', 'حق', 'العمل', 'تأمین', 'مالی', 'بیرونی', 'بنگاه', 'مدل', 'سازی', 'می', 'شود', 'نتایج', 'حاصل', 'مقایسه', 'عملکرد', 'قواعد', 'سیاستی', 'نشان', 'داد', 'دنبال', 'وقوع', 'تکانه', 'مالی', 'انبساطی', 'نظام', 'سیاست', 'کلان', 'احتیاطی', 'دو', 'ابزار', 'سیاست', 'پولی', 'ابزار', 'کلان', 'احتیاطی', 'مقابله', 'رشد', 'بیش', 'حد', 'اعتبارات', 'استفاده', 'می', 'شود', 'موجب', 'کاهش', 'قابل', 'توجه', 'پاداش', 'تأمین', 'مالی', 'بیرونی', 'بنگاه', 'شده', 'رو', 'تلاطم', 'کمتری', 'متغیر', 'جمله', 'تورم', 'تولید', 'منجر', 'می', 'شود', 'امر', 'موجب', 'بهبود', 'وضعیت', 'رفاهی', 'خواهد_شد']"
212,"['تحقیق', 'منظور', 'هدفمندی', 'یارانه', 'عوامل', 'اجتماعی', 'مؤثر', 'میزان', 'تقاضای', 'آب', 'خانوارها', 'سیستم', 'معادلات', 'تقاضای', 'تقریبا', 'ایده', 'آل', 'استفاده', 'شده_است', 'مدل', 'استفاده', 'داده', 'تلفیقی', 'روش', 'رگرسیون', 'ظاهر', 'نامرتبط', 'کارگیری', 'اطلاعات', 'خانوار', 'شهری', 'کشور', 'طی', 'سال', 'تخمین', 'زده', 'شده', 'نتایج', 'تحقیق', 'نشان', 'می', 'دهد', 'قانون', 'هدفمندسازی', 'یارانه', 'معنی', 'داری', 'تقاضا', 'مصرف', 'آب', 'خانگی', 'نداشته_است', 'همچنین', 'نتایج', 'تحقیق', 'نشان', 'داد', 'کشش', 'قیمتی', 'درآمدی', 'تقاضای', 'آب', 'خانگی', 'ترتیب', 'برابر', 'می', 'باشد', 'بین', 'متغیر', 'اقتصادی-اجتماعی', 'متغیرهای', 'خانوار', 'جنس', 'سرپرست', 'خانوار', 'مصرف', 'آب', 'خانوار', 'شهری', 'معنادار', 'مثبت', 'متغیرهای', 'سواد', 'سرپرست', 'خانوار', 'همچنین', 'داشتن', 'ماشین', 'لباسشویی', 'معنی', 'دار', 'منفی', 'دارند', 'داشتن', 'ماشین', 'ظرفشویی', 'سطح', 'زیربنای', 'محل', 'سکونت', 'خانوار', 'مصرف', 'آب', 'خانگی', 'معنی', 'دار', 'ندارد']"
213,"['سیاست', 'پولی', 'ابزاری', 'مؤثر', 'جهت', 'اثرگذاری', 'متغیرهای', 'کلان', 'مانند', 'تولید', 'اشتغال', 'سطح', 'عمومی', 'قیمت', 'است', 'ادبیات', 'نظری', 'شواهد', 'تجربی', 'نشان', 'می', 'دهد', 'سیاست', 'پولی', 'متغیرهای', 'کلان', 'نامتقارن', 'است', 'سطح', 'توسعه', 'تعمیق', 'بازارهای', 'مالی', 'بستگی', 'دارد', 'دلیل', 'هدف', 'مقاله', 'نقش', 'توسعه', 'مالی', 'اثربخشی', 'سیاست', 'پولی', 'رشد', 'ستاده', 'واقعی', 'طی', 'چرخه', 'تجاری', 'است', 'بدین', 'منظور', 'استفاده', 'داده', 'فصلی', 'دوره', 'الی', 'الگوی', 'مارکوف-سوئیچینگ', 'سیاست', 'پولی', 'رشد', 'ستاده', 'واقعی', 'طی', 'چرخه', 'تجاری', 'مورد', 'قرار', 'گرفته', 'نتایج', 'حاصل', 'پژوهش', 'نشان', 'می', 'دهد', 'سیاست', 'پولی', 'رشد', 'ستاده', 'واقعی', 'دوران', 'رکود', 'مثبت', 'معنادار', 'دوران', 'رونق', 'غیر', 'معنادار', 'عبارت', 'دیگر', 'سیاست', 'پولی', 'رشد', 'ستاده', 'واقعی', 'نامتقارن', 'است', 'همچنین', 'نتایج', 'نشان', 'دهنده', 'است', 'نهایی', 'سیاست', 'پولی', 'رشد', 'ستاده', 'واقعی', 'طی', 'چرخه', 'تجاری', 'سطوح', 'توسعه', 'مالی', 'بستگی', 'دارد', 'طوری', 'افزایش', 'توسعه', 'مالی', 'سیاست', 'پولی', 'رشد', 'ستاده', 'واقعی', 'طی', 'چرخه', 'تجاری', 'کاهش', 'می', 'یابد']"
214,"['برخی', 'اقتصاددانان', 'معتقدند', 'وقوع', 'بحران', 'مشکلات', 'مانند', 'افزایش', 'دامنه', 'نوسانات', 'افزایش', 'بیکاری', 'تورم', 'نهایت', 'افزایش', 'زیان', 'کاهش', 'رفاه', 'اجتماعی', 'جهت', 'مداخله', 'دولت', 'اجرای', 'سیاست', 'دستوری', 'است', 'ارتباط', 'عدم', 'اجرای', 'سیاست', 'دستوری', 'دولت', 'توسط', 'بانک', 'مرکزی', 'واقع', 'استقلال', 'همچنان', 'موضوعی', 'مطرح', 'است', 'مقاله', 'حاضر', 'کارآمدی', 'ابزار', 'سیاستی', 'اوراق', 'مشارکت', 'واسطه', 'استقلال', 'ابزاری', 'بانک', 'مرکزی', 'اثرگذاری', 'زیان', 'اجتماعی', 'چارچوب', 'مدل', 'استکلبرگ', 'رهیافت', 'تئوری', 'بازیها', 'ارزیابی', 'شده_است', 'بدین', 'منظور', 'بازی', 'سه', 'بازیکن', 'شامل', 'دولت', 'بانک', 'مرکزی', 'سفته', 'بازان', 'یک', 'دارای', 'تابع', 'هدفی', 'هستند', 'کشور', 'طراحی', 'شده_است', 'مدل', 'سازی', 'عددی', 'لازم', 'حصول', 'نتایج', 'کمی', 'تحقیق', 'براساس', 'داده', 'سالهای', 'ترتیب', 'استفاده', 'دو', 'نرم', 'افزار', 'MAPLE', 'GAMSصورت', 'گرفته_است', 'نتیجه', 'کلی', 'حاصل', 'مبنای', 'هدف', 'حداقل', 'کردن', 'زیان', 'اجتماعی', 'دولت', 'نقش', 'رهبری', 'مسلط', 'نداشته_باشد', 'مقابل', 'بانک', 'مرکزی', 'رهبری', 'اجرای', 'سیاست', 'پولی', 'طریق', 'عملیات', 'بازار', 'باز', 'عهده', 'دار', 'باشد', 'استقلال', 'بانک', 'مرکزی', 'حداقل', 'زیان', 'اجتماعی', 'کمترین', 'سطح', 'خود', 'می', 'رسد']"
215,"['هدف', 'مطالعه', 'محاسبه', 'اعمال', 'سیاست', 'پولی', 'مالی', 'بهینه', 'نظر', 'گرفتن', 'قید', 'مالیات', 'بهینه', 'می', 'باشد', 'استفاده', 'یک', 'مدل', 'تعادل', 'عمومی', 'تصادفی', 'پویا', 'کار', 'گیری', 'انواع', 'ابزارهای', 'مالیاتی', 'مانند', 'مالیات', 'مصرف', 'درآمد', 'سرمایه', 'درآمد', 'حاصل', 'نیروی', 'کار', 'سود', 'چندین', 'سناریو', 'پرداخته', 'می', 'شود', 'نتایج', 'نشان', 'می', 'دهند', 'تحت', 'سناریوهای', 'مختلف', 'فروض', 'چسبندگی', 'انعطاف', 'پذیری', 'قیمت', 'مدل', 'قاعده', 'فریدمن', 'تورم', 'صفر', 'عنوان', 'سیاست', 'بهینه', 'مشخص', 'می', 'گردد', 'همچنین', 'آنجایی', 'دولت', 'معمولا', 'تلاش', 'اند', 'اغتشاشات', 'ناشی', 'مالیات', 'اعمال', 'شده', 'بخش', 'مختلف', 'حداقل', 'نمایند', 'نیاز', 'وجود', 'یک', 'مالیات', 'منفی', 'نشان', 'دهنده', 'وضع', 'کمک', 'هزینه', 'سوبسید', 'شرایط', 'مطلوب', 'رمزی', 'مدل', 'می', 'باشد', 'تأیید', 'می', 'گردد', 'دیگر', 'سو', 'طبق', 'یافته', 'تحقیق', 'می', 'توان', 'گفت', 'سطوح', 'تورمی', 'تنها', 'چسبندگی', 'اسمی', 'حقیقی', 'مدل', 'وابسته_اند', 'تعداد', 'ابزارهای', 'دسترس', 'برنامه', 'ریز', 'رمزی', 'قرار', 'دارد', 'وابسته', 'می', 'باشد']"
216,"['خدمات', 'یکی', 'بخش', 'کشور', 'است', 'همانند', 'بخش', 'طی', 'گذشت', 'زمان', 'دچار', 'تغییر', 'تحول', 'کمی', 'کیفی', 'شده', 'سهم', 'ایجاد', 'ارزش', 'افزوده', 'اختصاص', 'منابع', 'فعالیت', 'خود', 'همچنین', 'سهم', 'تولید', 'ناخالص', 'داخلی', 'اشتغال', 'توسعه', 'مستمر', 'چشمگیر', 'رو', 'افزایش', 'بوده_است', 'مقاله', 'استفاده', 'داده', 'مربوط', 'ارزش', 'افزوده', 'بخش', 'خدمات', 'پایه', 'پولی', 'نقدینگی', 'حجم', 'پول', 'دوره', 'زمانی', 'استفاده', 'رویکرد', 'متدولوژی', 'فیشر', 'سیتر', 'خنثایی', 'ابر', 'خنثایی', 'پول', 'بخش', 'خدمات', 'مورد', 'سنجش', 'قرارگرفته', 'است', 'تعیین', 'درجه', 'جمعی', 'متغیرها', 'روش', 'متداول', 'ریشه', 'واحد', 'مانند', 'ADF', 'KPSS', 'PP', 'آنها', 'شکست', 'ساختاری', 'متغیر', 'لحاظ', 'نمی', 'گردد', 'روش', 'زیوت', 'اندریوز', 'منظور', 'لحاظ', 'شکست', 'ساختاری', 'استفاده', 'شده_است', 'ضمن', 'مقایسه', 'نتایج', 'استنتاج', 'مطمئن', 'تری', 'حاصل', 'گردد', 'نتایج', 'نشان', 'می', 'دهد', 'اولا', 'صورت', 'وجود', 'شکست', 'ساختاری', 'متغیرها', 'می', 'باید', 'روش', 'زیوت', 'اندریوز', 'جهت', 'پایایی', 'متغیرها', 'استفاده', 'شود', 'ثانیا', 'پول', 'بخش', 'خدمات', 'خنثی', 'نیست', 'تغییرات', 'دائمی', 'متغیر', 'پولی', 'تولید', 'حقیقی', 'بخش', 'خدمات', 'بی', 'تأثیر', 'نیست', 'امر', 'سیاستگذاران', 'اعمال', 'سیاست', 'پولی', 'انبساطی', 'البته', 'نظر', 'گرفتن', 'برخی', 'هزینه', 'هایی', 'سیاست', 'جامعه', 'تحمیل', 'می', 'کنند', 'راهنمایی', 'می', 'کند']"
217,"['ترجیح', 'زمانی', 'رفتار', 'بین', 'دوره', 'ای', 'مطالعات', 'نظری', 'کاربردی', 'مربوط', 'تصمیم', 'گیری', 'اهمیت', 'اساسی', 'داشته', 'یکی', 'عناصر', 'مهم', 'است', 'اکنون', 'گرایی', 'رفتار', 'بین', 'دوره', 'ای', 'باعث', 'می', 'شود', 'افراد', 'پس', 'انداز', 'تعویق', 'انداخته', 'سطح', 'پس', 'انداز', 'جامعه', 'عمل', 'کمتر', 'سطح', 'بهینه', 'شود', 'لذا', 'پژوهش', 'مطالعه', 'اکنون', 'گرایی', 'ترجیح', 'زمانی', 'رفتار', 'مصرف', 'پس', 'انداز', 'دانشجویان', 'پرداخته_است', 'ضمن', 'عامل', 'بیرونی', 'نرخ', 'بهره', 'تصمیم', 'گیری', 'بین', 'دوره', 'ای', 'تأثیر', 'عوامل', 'فردی', 'مثل', 'تجربه', 'گذشته', 'افراد', 'جنسیت', 'سطح', 'مخارج', 'مصرفی', 'آنها', 'اکنون', 'گرایی', 'آزمون', 'کرده_است', 'منظور', 'پس', 'نظری', 'موضوع', 'پارامترهای', 'ترجیح', 'زمانی', 'اکنون', 'گرایی', 'افراد', 'دو', 'روش', 'تجربی', 'فهرست', 'قیمتی', 'چندگانه', 'بودجه', 'زمانی', 'محدب', 'استخراج', 'شده', 'گونه', 'ای', 'تغییر', 'نرخ', 'بهره', 'آزمایشگاهی', 'افراد', 'موقعیت', 'تصمیم', 'گیری', 'متفاوتی', 'قرار', 'گرفتند', 'نتایج', 'آزمایش', 'نشان', 'می', 'دهد', 'طورکلی', 'شرکت', 'کنندگان', 'رفتار', 'بین', 'دوره', 'ای', 'خود', 'سمت', 'اکنون', 'تورش', 'دارند', 'اگرچه', 'روش', 'فهرست', 'قیمتی', 'چندگانه', 'افراد', 'اکنون', 'گرایی', 'بیشتری', 'نسبت', 'روش', 'بودجه', 'زمانی', 'محدب', 'خود', 'نشان', 'داده_اند', 'وجود', 'اینکه', 'نرخ', 'بهره', 'عامل', 'تأثیرگذاری', 'تصمیم', 'گیری', 'بین', 'دوره', 'ای', 'است', 'رفتار', 'بین', 'دوره', 'ای', 'تحت', 'تأثیر', 'تجربه', 'پیشین', 'دانشجویان', 'قرار', 'گرفته_است', 'بین', 'جنسیت', 'سطح', 'مخارج', 'مصرفی', 'اکنون', 'گرایی', 'رابطه', 'معناداری', 'مشاهده', 'نشده_است']"
218,"['عوامل', 'مؤثر', 'مخارج', 'مصرفی', 'دولت', 'یکی', 'عوامل', 'مهم', 'اثرگذار', 'کمتر', 'پرداخته', 'شده', 'ساختار', 'سنی', 'جمعیت', 'بوده', 'مطالعه', 'تغییر', 'ساختار', 'سنی', 'جمعیت', 'مخارج', 'مصرفی', 'دولت', 'استفاده', 'روش', 'الگوی', 'داده', 'ترکیبی', 'تواتر', 'متفاوت', 'میداس', 'پرداخته_شده_است', 'نتایج', 'حاصل', 'برآورد', 'نشان', 'می', 'دهد', 'ساختار', 'سنی', 'جمعیت', 'تأثیر', 'مثبت', 'معنادار', 'مخارج', 'مصرفی', 'دولت', 'دارد', 'سپس', 'مخارج', 'مصرفی', 'دولت', 'سال', 'پیش', 'بینی', 'شده_است', 'اطلاعات', 'مربوط', 'سال', 'برآورد', 'اولیه', 'رابطه', 'استفاده', 'نشده', 'بتوان', 'براساس', 'قدرت', 'پیش', 'بینی', 'الگو', 'خارج', 'محدوده', 'برآورد', 'محک', 'زد', 'نهایت', 'مخارج', 'مصرفی', 'پیش', 'بینی', 'شده', 'معادل', 'میلیارد', 'ریال', 'محاسبه', 'گردید', 'مقایسه', 'مقدار', 'واقعی', 'معادل', 'میلیارد', 'ریال', 'حاکی', 'پیش', 'بینی', 'خوب', 'الگو', 'است', 'Mixed', 'frequency', 'Data', 'Sampling', 'MIDAS']"
219,"['هدف', 'اصلی', 'مقاله', 'متقابل', 'حکمرانی', 'توسعه', 'کشورهای', 'صادرکننده', 'نفت', 'است', 'راستا', 'متقابل', 'دو', 'گروه', 'کشورهای', 'خاورمیانه', 'غیرخاورمیانه', 'صادرکننده', 'نفت', 'مورد', 'مقایسه', 'قرار', 'می', 'گیرد', 'مدل', 'حداقل', 'مربعات', 'سه', 'مرحله', 'ای', 'برآورد', 'مدل', 'اساس', 'داده', 'بانک', 'جهانی', 'دوره', 'زمانی', 'آزمون', 'والد', 'کروسکال', 'والیس', 'حداقل', 'اختلاف', 'معنادار', 'استفاده', 'شده_است', 'کارکرد', 'حکمرانی', 'یک', 'موضوع', 'اساسی', 'تبدیل', 'شده', 'کشورهای', 'خاورمیانه', 'دلیل', 'موقعیت', 'استراتژیک', 'جغرافیایی', 'برخورداری', 'برخی', 'آنها', 'درآمدهای', 'صادرات', 'فروش', 'نفت', 'اهمیت', 'ویژه', 'ای', 'تحقیق', 'برخوردار', 'شده_است', 'نتایج', 'بیانگر', 'است', 'تفاوت', 'معناداری', 'بین', 'تأثیر', 'متقابل', 'حکمرانی', 'توسعه', 'کشورهای', 'خاورمیانه', 'صادرکننده', 'نفت', 'کشورهای', 'غیرخاورمیانه', 'صادرکننده', 'نفت', 'وجود', 'دارد', 'دو', 'گروه', 'کشورها', 'تأثیر', 'توسعه', 'حکمرانی', 'مراتب', 'بیش', 'تأثیر', 'حکمرانی', 'توسعه', 'می', 'باشد', 'رغم', 'تشابه', 'عامل', 'صادرات', 'نفت', 'عامل', 'محیط', 'جغرافیایی', 'دربردارنده', 'تشابهات', 'فرهنگی', 'دین', 'برخی', 'آداب', 'رسوم', 'تأثیر', 'متقابل', 'حکمرانی', 'توسعه', 'مؤثر', 'ضریب', 'برآوردی', 'تأثیر', 'توسعه', 'حکمرانی', 'دو', 'گروه', 'بیش', 'ضریب', 'برآوردی', 'تأثیر', 'حکمرانی', 'توسعه', 'است', 'لذا', 'توجه', 'توسعه', 'علاوه', 'بهبود', 'شاخص', 'شرایط', 'حکمرانی', 'ارتقا', 'داده', 'باعث', 'بهبود', 'عملکرد', 'می', 'شود', 'تأثیر', 'طریق', 'حکمرانی', 'وجود', 'دارد', 'سرعت', 'تغییر', 'طرف', 'توسعه', 'بیشتر', 'است', 'Wald', 'Kruskal', '_Wallis', 'LSD', 'Least', 'Significant', 'Difference']"
220,"['جرم', 'پدیده', 'ای', 'است', 'دیدگاه', 'جامعه', 'شناسی', 'روانشناسی', 'حقوقی', 'مورد', 'مطالعه', 'قرار', 'گرفته_است', 'منظر', 'شرایطی', 'کشورها', 'دچار', 'مشکلات', 'نظیر', 'تورم', 'بیکاری', 'فقر', 'نابرابری', 'درآمدی', 'افزایش', 'هزینه', 'ضروری', 'باشند', 'انتظار', 'افزایش', 'وقوع', 'جرم', 'اجتناب', 'ناپذیر', 'است', 'یکی', 'موارد', 'جرم', 'سرقت', 'می', 'باشد', 'نقش', 'پررنگی', 'آمار', 'جرائم', 'ایفا', 'می', 'کند', 'مطالعه', 'کوشش', 'می', 'شود', 'رابطه', 'میان', 'نابرابری', 'درآمدی', 'سرقت', 'مدل', 'اقتصادسنجی', 'بیزین', 'پیشین', 'جفری', 'مورد', 'قرار', 'گیرد', 'دوره', 'زمانی', 'مطالعه', 'سال', 'صورت', 'نامتوازن', 'مربوط', 'قلمرو', 'مکانی', 'می', 'باشد', 'هزینه', 'آموزشی', 'تورم', 'عنوان', 'متغیر', 'کنترلی', 'مورد', 'استفاده', 'قرار', 'می', 'گیرند', 'نتایج', 'حاکی', 'مثبت', 'معنی', 'دار', 'نابرابری', 'درآمدی', 'سرقت', 'است', 'همچنین', 'هزینه', 'آموزشی', 'مطابق', 'انتظار', 'رابطه', 'منفی', 'سرقت', 'داشته', 'تورم', 'معنی', 'داری', 'متغیر', 'نداشته_است', 'Jeffry', 'Prior']"
221,"['دهه', 'اخیر', 'کاهش', 'فقر', 'افزایش', 'سطح', 'رفاه', 'خانوارها', 'یکی', 'مباحث', 'مهم', 'توسعه', 'کشور', 'تبدیل', 'شده_است', 'طوری', 'فقرزدایی', 'بهبود', 'سطح', 'رفاه', 'افراد', 'جامعه', 'شرط', 'لازم', 'رشد', 'محسوب', 'می', 'شود', 'البته', 'برنامه', 'مبارزه', 'فقر', 'همان', 'اندازه', 'کارآیی', 'سیاستگذاری', 'نحوه', 'اجرای', 'نیاز', 'دارد', 'شناخت', 'ابعاد', 'مختلف', 'پدیده', 'فقر', 'دلایل', 'پیامدهای', 'نیاز', 'دارد', 'بنابراین', 'آگاهی', 'وضعیت', 'فقر', 'جامعه', 'ای', 'اولین', 'گام', 'مسیر', 'برنامه', 'ریزی', 'مبارزه', 'فقر', 'محرومیت', 'است', 'راستا', 'استفاده', 'داده', 'هزینه', 'درآمد', 'خانوار', 'شهری', 'توسط', 'مرکز', 'آمار', 'همه', 'ساله', 'منتشر', 'می', 'شود', 'ابتدا', 'خط', 'فقر', 'طی', 'سال', 'پنج', 'برنامه', 'توسعه', 'اجتماعی', 'فرهنگی', 'کشور', 'اجرا', 'درآمده', 'است', 'استفاده', 'هشت', 'گروه', 'کالایی', 'روش', 'سیستم', 'مخارج', 'خطی', 'LES', 'استفاده', 'نظریه', 'حداقل', 'عادات', 'نسبی', 'HLES', 'محاسبه', 'شده', 'سپس', 'استفاده', 'شاخص', 'سنجش', 'فقر', 'شدت', 'فقر', 'مناطق', 'شهری', 'مورد', 'مطالعه', 'قرار', 'می', 'گیرد', 'نتایج', 'تحقیق', 'حاکی', 'است', 'طی', 'سال', 'مورد', 'مطالعه', 'گرچه', 'خط', 'فقر', 'خانوارهای', 'شهری', 'طی', 'پنج', 'برنامه', 'توسعه', 'اقتصادی-', 'اجتماعی', 'کشور', 'دارای', 'روند', 'صعودی', 'بوده_است', 'لیکن', 'شدت', 'گستردگی', 'فقر', 'شهرها', 'روند', 'نزولی', 'داشته_است', 'اساس', 'نتایج', 'دست', 'آمده', 'تحقیق', 'حداقل', 'معاش', 'سال', 'سال', 'اول', 'برنامه', 'اول-', 'ریال', 'قیمت', 'واقعی', 'سال', 'بوده_است', 'سال', 'آخرین', 'سال', 'برنامه', 'پنجم-', 'رسیده', 'یعنی', 'طی', 'برنامه', 'توسعه', 'دارای', 'رشد', 'متوسط', 'صد', 'بوده', 'لیکن', 'شدت', 'گستردگی', 'فقر', 'طی', 'برنامه', 'توسعه', 'دارای', 'روند', 'نزولی', 'سال', 'شاخص', 'میانگین', 'نسبت', 'سرشمار', 'شکاف', 'فقر', 'FGT', 'ترتیب', 'بوده', 'کمترین', 'مقدار', 'طی', 'سال', 'مورد', 'مطالعه', 'است', 'مؤید', 'بهبود', 'نسبی', 'معیشتی', 'خانوارهای', 'شهری', 'می', 'باشد']"
222,"['توسعه', 'بازارهای', 'مالی', 'نقش', 'بسیار', 'مهمی', 'توسعه', 'دارد', 'یکی', 'مهم', 'ترین', 'اهداف', 'توسعه', 'افزایش', 'اشتغال', 'است', 'میان', 'تورم', 'رابطه', 'بین', 'توسعه', 'مالی', 'اشتغال', 'نمی', 'باید', 'نادیده', 'گرفته_شود', 'رو', 'مطالعه', 'حاضر', 'تورم', 'رابطه', 'بین', 'توسعه', 'مالی', 'اشتغال', 'طی', 'دوره', 'زمانی', 'پرداخته_شده_است', 'نتایج', 'برآوردها', 'استفاده', 'مدل', 'رگرسیون', 'انتقال', 'ملایم', 'STR', 'نشان', 'می', 'دهد', 'بالاتر', 'رفتن', 'تورم', 'سطح', 'آستانه', 'منفی', 'شبه', 'پول', 'نرخ', 'بیکاری', 'تشدید', 'شده', 'افزایش', 'شبه', 'پول', 'بیشتری', 'افزایش', 'اشتغال', 'داشته_است', 'همچنین', 'افزایش', 'تورم', 'گذر', 'حد', 'آستانه', 'ای', 'افزایش', 'حجم', 'بازار', 'سرمایه', 'افزایش', 'اعتبارات', 'اعطایی', 'داخلی', 'بخش', 'خصوصی', 'موجب', 'کاهش', 'اشتغال', 'شده', 'متغیر', 'پایه', 'پولی', 'نرخ', 'بیکاری', 'دو', 'رژیم', 'مثبت', 'بوده', 'تفاوت', 'بالاتر', 'رفتن', 'نرخ', 'تورم', 'گذر', 'سطح', 'آستانه', 'تورم', 'مثبت', 'پایه', 'پولی', 'نرخ', 'بیکاری', 'تشدید', 'کرده', 'عبارتی', 'بالاتر', 'رفتن', 'تورم', 'افزایش', 'پایه', 'پولی', 'بیشتری', 'کاهش', 'اشتغال', 'داشته_است']"
223,"['هدف', 'اصلی', 'تحقیق', 'موضوع', 'است', 'شوکی', 'وارد', 'گردد', 'سبب', 'تغییر', 'نرخ', 'ارز', 'قیمت', 'شود', 'انتقال', 'نرخ', 'ارز', 'یعنی', 'رابطه', 'قیمت', 'نرخ', 'ارز', 'چه', 'میزان', 'خواهد_بود', 'نکته', 'اساسی', 'پژوهش', 'است', 'نرخ', 'ارز', 'عنوان', 'پدیده', 'ای', 'درونزا', 'نظر', 'گرفته_شد', 'مساله', 'نظر', 'حائز', 'اهمیت', 'است', 'انتقال', 'نرخ', 'ارز', 'یک', 'شوک', 'خاص', 'اتفاق', 'می', 'افتد', 'انتقال', 'نرخ', 'ارز', 'شوک', 'دیگر', 'اتفاق', 'می', 'افتد', 'متفاوت', 'است', 'ازاین', 'رو', 'یک', 'مدل', 'تعادل', 'عمومی', 'پویای', 'تصادفی', 'ارائه', 'گردید', 'شبیه', 'سازی', 'مدل', 'انجام', 'شد', 'دقت', 'الگو', 'استفاده', 'گشتاورهای', 'مدل', 'داده', 'فصلی', 'سال', 'گردید', 'درجه', 'انتقال', 'نرخ', 'ارز', 'شرط', 'هریک', 'شوک', 'وارد', 'شوک', 'تکنولوژی', 'درآمد', 'نفتی', 'تولید', 'خارجی', 'تقاضای', 'پول', 'نرخ', 'بهره', 'خارجی', 'سیاست', 'پولی', 'صورت', 'حاصل', 'تقسیم', 'کوواریانس', 'توابع', 'ضربه-واکنش', 'نرخ', 'ارز', 'سطح', 'قیمت', 'بخش', 'واریانس', 'تابع', 'ضربه-واکنش', 'نرخ', 'ارز', 'طی', 'افق', 'موردنظر', 'محاسبه', 'گردید', 'درنهایت', 'انتقال', 'نرخ', 'ارز', 'کلی', 'صورت', 'جمع', 'وزنی', 'ضرایب', 'انتقال', 'ارز', 'شرطی', 'وزن', 'منعکس', 'کننده', 'سهم', 'نسبی', 'شوک', 'مختلف', 'توضیح', 'تغییرات', 'نرخ', 'ارز', 'می', 'باشد', 'محاسبه', 'گردید', 'بیشترین', 'درجه', 'انتقال', 'نرخ', 'ارز', 'شرطی', 'بلندمدت', 'شاخص', 'قیمت', 'مصرف', 'کننده', 'شوک', 'درآمد', 'نفت', 'شوک', 'تولید', 'خارجی', 'می', 'باشد', 'نزدیک', 'عدد', 'یک', 'انتقال', 'کامل', 'است', 'کمترین', 'میزان', 'درجه', 'انتقال', 'مربوط', 'شوک', 'تکنولوژی', 'است']"
